path_to_object,start_date,end_date_time,duration,PM_name,index,value
S01MTGDN01/IKE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",2, Subrack No.=0
S01MTGDN01/IKE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",3, Slot No.=7
S01MTGDN01/SCTPLNK,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,Link No.=70005,,
S01MTGDN01/SCTPLNK,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,Link No.=70005,0,PT3600S
S01MTGDN01/SCTPLNK,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,Link No.=70005,0,2023-06-21T00:00:00-04:00
S01MTGDN01/SCTPLNK,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,Link No.=70005,0,S01MTGDN01/SCTPLNK:Link No.=70005
S01MTGDN01/USERPLANEHOST,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,User Plane Host ID=65535,,
S01MTGDN01/USERPLANEHOST,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,User Plane Host ID=65535,0,PT3600S
S01MTGDN01/USERPLANEHOST,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,User Plane Host ID=65535,0,2023-06-21T00:00:00-04:00
S01MTGDN01/USERPLANEHOST,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,User Plane Host ID=65535,0,S01MTGDN01/USERPLANEHOST:User Plane Host ID=65535
S01MTGDN01/GPM,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,GPM ID=1,,
S01MTGDN01/GPM,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,GPM ID=1,0,PT3600S
S01MTGDN01/GPM,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,GPM ID=1,0,2023-06-21T00:00:00-04:00
S01MTGDN01/GPM,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,GPM ID=1,0,S01MTGDN01/GPM:GPM ID=1
S01MTGDN01/NODE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,NODE,,
S01MTGDN01/NODE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,NODE,0,PT3600S
S01MTGDN01/NODE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,NODE,0,2023-06-21T00:00:00-04:00
S01MTGDN01/NODE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,NODE,0,S01MTGDN01/NODE:NODE
S01MTGDN01/NODE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,NODE,,
S01MTGDN01/NODE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,NODE,0,PT3600S
S01MTGDN01/NODE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,NODE,0,2023-06-21T00:00:00-04:00
S01MTGDN01/NODE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,NODE,0,S01MTGDN01/NODE:NODE
